,Year,value,flood
247,1985-08-01,62.0,0
248,1985-09-01,149.0,0
249,1985-10-01,115.0,0
250,1985-11-01,465.0,0
251,1985-12-01,44.0,0
252,1986-01-01,203.0,0
253,1986-02-01,61.0,0
254,1986-03-01,0.0,0
255,1986-04-01,0.0,0
256,1986-05-01,25.0,0
257,1986-06-01,42.0,0
258,1986-07-01,51.0,0
259,1986-08-01,47.0,0
260,1986-09-01,48.0,0
261,1986-10-01,238.0,0
262,1986-11-01,128.0,0
263,1986-12-01,61.0,0
264,1987-01-01,4.0,0
265,1987-02-01,0.0,0
266,1987-03-01,20.0,0
267,1987-04-01,14.0,0
268,1987-05-01,0.0,0
269,1987-06-01,33.0,0
270,1987-07-01,33.0,0
271,1987-08-01,106.0,0
272,1987-09-01,70.0,0
273,1987-10-01,178.0,0
274,1987-11-01,197.0,0
275,1987-12-01,230.0,0
276,1988-01-01,0.0,0
277,1988-02-01,1.0,0
278,1988-03-01,0.0,0
279,1988-04-01,17.0,0
280,1988-05-01,18.0,0
281,1988-06-01,10.0,0
282,1988-07-01,103.0,0
283,1988-08-01,209.0,0
284,1988-09-01,126.0,0
285,1988-10-01,70.0,0
286,1988-11-01,356.0,0
287,1988-12-01,153.0,0
288,1989-01-01,11.0,0
289,1989-02-01,0.0,0
290,1989-03-01,0.0,0
291,1989-04-01,0.0,0
292,1989-05-01,9.0,0
293,1989-06-01,55.0,0
294,1989-07-01,134.0,0
295,1989-08-01,22.0,0
296,1989-09-01,115.0,0
297,1989-10-01,79.0,0
298,1989-11-01,343.0,0
299,1989-12-01,124.0,0
300,1990-01-01,9.0,0
301,1990-02-01,6.0,0
302,1990-03-01,7.0,0
303,1990-04-01,7.0,0
304,1990-05-01,307.0,0
305,1990-06-01,54.0,0
306,1990-07-01,74.0,0
307,1990-08-01,65.0,0
308,1990-09-01,171.0,0
309,1990-10-01,377.0,0
310,1990-11-01,307.0,0
311,1990-12-01,50.0,0
312,1991-01-01,8.0,0
313,1991-02-01,0.0,0
314,1991-03-01,0.0,0
315,1991-04-01,5.0,0
316,1991-05-01,0.0,0
317,1991-06-01,234.0,0
318,1991-07-01,75.0,0
319,1991-08-01,107.0,0
320,1991-09-01,118.0,0
321,1991-10-01,284.0,1
322,1991-11-01,594.0,1
323,1991-12-01,1.0,0
324,1992-01-01,6.0,0
325,1992-02-01,0.0,0
326,1992-03-01,0.0,0
327,1992-04-01,29.0,0
328,1992-05-01,58.0,0
329,1992-06-01,0.0,0
330,1992-07-01,46.0,0
331,1992-08-01,86.0,0
332,1992-09-01,103.0,0
333,1992-10-01,96.0,0
334,1992-11-01,305.0,0
335,1992-12-01,119.0,0
336,1993-01-01,0.0,0
337,1993-02-01,0.0,0
338,1993-03-01,2.0,0
339,1993-04-01,0.0,0
340,1993-05-01,53.0,0
341,1993-06-01,50.0,0
342,1993-07-01,84.0,0
343,1993-08-01,215.0,0
344,1993-09-01,116.0,0
345,1993-10-01,277.0,0
346,1993-11-01,342.0,0
347,1993-12-01,206.0,0
348,1994-01-01,2.0,0
349,1994-02-01,15.0,0
350,1994-03-01,0.0,0
351,1994-04-01,0.0,0
352,1994-05-01,28.0,0
353,1994-06-01,17.0,0
354,1994-07-01,93.0,0
355,1994-08-01,106.0,0
356,1994-09-01,58.0,0
357,1994-10-01,335.0,0
358,1994-11-01,406.0,0
359,1994-12-01,222.0,0
360,1995-01-01,84.0,0
361,1995-02-01,0.0,0
362,1995-03-01,13.0,0
363,1995-04-01,0.0,0
364,1995-05-01,250.0,0
365,1995-06-01,9.0,0
366,1995-07-01,107.0,0
367,1995-08-01,234.0,0
368,1995-09-01,200.0,0
369,1995-10-01,347.0,0
370,1995-11-01,321.0,0
371,1995-12-01,1.0,0
372,1996-01-01,0.0,0
373,1996-02-01,0.0,0
374,1996-03-01,0.0,0
375,1996-04-01,59.0,0
376,1996-05-01,8.0,0
377,1996-06-01,635.0,0
378,1996-07-01,34.0,0
379,1996-08-01,113.0,0
380,1996-09-01,189.0,0
381,1996-10-01,394.0,0
382,1996-11-01,309.0,0
383,1996-12-01,382.0,0
384,1997-01-01,25.0,0
385,1997-02-01,0.0,0
386,1997-03-01,0.0,0
387,1997-04-01,10.0,0
388,1997-05-01,22.0,0
389,1997-06-01,106.0,0
390,1997-07-01,57.0,0
391,1997-08-01,71.0,0
392,1997-09-01,300.0,0
393,1997-10-01,250.0,0
394,1997-11-01,948.0,0
395,1997-12-01,380.0,0
